"","spot_1_1","spot_1_2","spot_1_3","spot_1_4","spot_1_5","spot_1_6","spot_1_7","spot_1_8","spot_1_9","spot_2_1","spot_2_2","spot_2_3","spot_2_4","spot_2_5","spot_2_6","spot_2_7","spot_2_8","spot_2_9","spot_3_1","spot_3_2","spot_3_3","spot_3_4","spot_3_5","spot_3_6","spot_3_7","spot_3_8","spot_3_9","spot_4_1","spot_4_2","spot_4_3","spot_4_4","spot_4_5","spot_4_6","spot_4_7","spot_4_8","spot_4_9","spot_5_1","spot_5_2","spot_5_3","spot_5_4","spot_5_5","spot_5_6","spot_5_7","spot_5_8","spot_5_9","spot_6_1","spot_6_2","spot_6_3","spot_6_4","spot_6_5","spot_6_6","spot_6_7","spot_6_8","spot_6_9","spot_7_1","spot_7_2","spot_7_3","spot_7_4","spot_7_5","spot_7_6","spot_7_7","spot_7_8","spot_7_9","spot_8_1","spot_8_2","spot_8_3","spot_8_4","spot_8_5","spot_8_6","spot_8_7","spot_8_8","spot_8_9","spot_9_1","spot_9_2","spot_9_3","spot_9_4","spot_9_5","spot_9_6","spot_9_7","spot_9_8","spot_9_9","spot_10_3","spot_10_4","spot_10_5","spot_10_6"
"Fermt3",0,0,0,1,1,2,0,0,0,0,0,7,4,2,2,4,0,1,3,1,0,4,1,3,0,4,0,0,0,2,0,0,5,1,1,0,2,2,1,1,3,1,1,0,0,0,2,2,4,4,2,3,2,1,2,3,4,1,1,2,7,2,1,4,1,1,0,6,2,1,1,1,0,0,0,2,2,0,0,4,0,0,0,0,1
"Ptpn6",0,0,1,0,1,1,0,0,1,0,0,3,3,4,4,4,2,3,0,2,5,2,3,6,4,4,2,3,1,3,3,2,6,1,3,1,2,2,2,1,4,0,4,3,0,2,2,6,1,5,1,5,3,1,2,2,3,6,4,0,3,0,1,1,3,1,0,4,0,0,0,1,4,0,2,3,0,5,1,5,0,0,0,0,2
"Fcgr1",0,0,0,2,0,0,0,0,1,0,0,3,2,2,4,7,1,1,0,0,5,3,1,1,0,0,3,0,1,3,3,0,2,0,1,0,1,0,0,3,0,2,1,1,2,0,2,2,3,2,2,1,1,1,2,0,4,1,1,3,0,0,1,2,11,2,0,3,1,0,0,3,1,0,0,4,1,1,3,5,0,0,2,0,0
"Tnfaip8l2",0,0,3,3,4,3,2,1,0,1,2,4,3,2,5,8,2,5,3,3,1,3,2,6,3,6,0,1,4,6,0,8,12,2,2,1,3,1,3,0,3,1,2,3,4,3,3,7,3,7,4,4,1,2,3,0,3,6,5,1,6,2,1,5,2,1,2,5,5,0,1,2,3,0,0,4,2,3,1,4,1,1,0,0,1
"Cxcr3",0,0,0,0,3,3,1,0,0,1,1,4,0,3,2,2,2,2,0,0,5,2,3,4,1,3,2,2,0,4,2,2,3,2,0,0,1,2,1,5,2,3,4,4,1,0,1,0,5,0,2,7,1,1,1,2,3,2,3,7,4,0,0,1,1,3,1,5,0,4,2,1,6,3,3,1,0,1,3,0,0,0,1,0,0
"Tgfbi",0,0,1,0,3,2,0,0,0,0,2,4,0,6,2,4,2,1,0,2,4,1,3,4,1,2,1,3,0,5,5,3,2,2,1,0,4,2,3,6,5,2,4,1,1,1,0,5,1,1,1,4,1,3,1,2,5,7,5,4,4,2,2,1,3,4,2,5,0,7,1,0,2,2,1,5,1,4,1,6,0,0,1,1,0
"Samhd1",1,0,1,3,1,1,0,0,2,0,1,3,2,2,4,4,6,0,1,5,2,0,4,3,2,0,2,1,2,4,3,3,6,0,5,0,2,0,2,2,5,7,5,0,2,1,6,3,5,5,3,2,4,3,0,5,7,2,6,3,5,3,2,5,5,1,3,1,0,3,1,2,1,1,3,2,4,6,2,5,1,0,0,0,2
"Cd300a",0,0,0,0,3,4,1,0,0,0,1,2,4,2,1,5,5,2,0,0,3,2,1,6,0,0,0,0,2,3,2,3,2,4,1,0,4,1,0,5,3,7,1,3,3,2,0,5,1,2,5,0,0,3,1,2,2,3,8,3,1,2,3,0,2,0,0,5,1,3,3,0,4,3,0,4,0,3,3,5,1,2,2,0,2
"Tifab",0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,0,3,0,2,1,3,0,1,4,1,2,0,1,2,2,3,5,6,3,3,0,0,5,0,1,3,1,6,3,1,0,4,6,7,1,2,1,1,1,3,2,3,4,1,2,3,0,3,2,3,5,0,5,0,4,2,3,1,1,0,2,1,0,0,2,0,0,0,1,3
"Slc6a13",0,1,2,0,5,3,4,0,2,2,1,4,2,3,4,5,5,4,2,2,6,10,2,5,1,1,2,2,4,4,3,7,6,3,5,2,1,7,1,3,3,3,6,1,0,1,4,9,3,6,3,7,6,3,4,7,9,6,14,7,3,0,2,3,4,4,1,6,1,5,2,3,4,2,2,7,0,0,2,7,0,0,0,0,1
"Cmklr1",0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,2,0,1,0,0,3,2,0,5,2,2,0,1,0,4,2,2,1,1,0,1,2,1,0,3,2,0,0,0,4,0,0,7,2,4,1,3,1,1,0,1,3,2,5,4,5,3,0,0,3,1,2,1,0,0,2,1,2,0,0,2,3,2,0,0,1,0,1,0,2
"Abcg3",0,0,0,2,0,1,0,0,0,2,0,0,0,3,4,1,0,0,0,2,2,1,0,0,0,0,0,4,2,4,0,2,2,3,0,2,1,0,1,2,2,1,1,1,0,0,2,7,0,3,0,5,4,0,1,0,2,5,2,1,1,0,2,1,1,2,1,4,0,0,2,2,2,2,2,1,0,1,3,2,0,0,0,2,0
"Cnr2",0,0,0,2,2,0,2,0,0,0,2,2,0,3,0,1,5,1,2,1,1,1,2,2,2,3,3,4,0,2,2,2,4,3,4,0,0,3,2,4,2,6,4,0,6,0,4,3,2,2,2,2,1,0,0,0,7,8,4,2,3,2,0,1,3,2,2,3,0,3,1,2,1,0,1,1,2,4,1,6,0,0,1,0,0
"Tec",0,0,0,0,1,2,1,0,0,0,0,6,1,0,2,4,1,0,2,1,2,5,0,2,6,2,1,0,0,0,4,0,3,2,0,1,1,1,0,3,0,2,0,1,2,0,2,2,1,2,0,2,1,0,2,1,4,2,7,1,2,0,4,2,1,2,0,2,2,2,4,0,0,0,0,0,1,6,3,1,0,0,0,0,1
"S1pr2",0,0,0,2,2,2,1,0,0,0,0,5,2,2,2,3,4,0,0,0,0,1,0,4,4,2,1,1,3,2,2,3,1,3,3,1,5,2,0,4,2,4,2,0,2,0,1,4,2,5,2,3,2,0,0,3,5,6,4,3,1,0,3,0,4,2,3,1,0,3,3,4,4,2,0,3,0,0,0,7,1,0,0,0,3
"Trpv4",0,0,0,0,0,2,2,0,2,0,0,4,2,0,3,4,5,6,2,0,2,3,1,5,3,3,0,5,0,6,2,2,3,0,1,0,4,4,0,1,6,5,7,1,2,2,3,5,3,1,2,3,5,2,1,3,6,4,2,5,4,4,1,5,1,4,0,5,2,4,2,2,2,0,0,0,0,1,2,4,0,1,0,0,2
"Nfam1",0,2,2,0,1,0,0,0,0,0,0,2,1,1,3,0,1,0,0,0,1,1,1,0,2,2,0,2,2,8,2,0,7,0,1,1,1,2,2,4,3,2,6,3,2,0,0,3,1,1,0,1,1,2,3,1,5,1,5,2,1,0,1,4,4,1,0,2,1,0,3,1,0,0,1,4,0,0,3,2,1,0,3,0,2
"Angptl7",0,0,0,2,3,3,0,0,1,0,0,3,0,1,1,0,0,4,1,2,0,3,1,1,3,1,1,1,4,5,0,1,0,1,0,1,0,2,0,5,1,0,0,2,0,0,4,4,1,1,1,1,1,2,2,3,3,0,0,0,3,4,4,6,2,4,2,5,0,1,0,2,7,0,0,0,2,2,1,3,0,0,1,0,3
"Siglec1",1,0,0,2,4,3,1,0,0,3,3,5,4,5,4,6,2,1,2,0,6,2,2,2,5,6,2,5,1,2,3,1,6,4,3,1,2,1,1,3,4,7,1,3,3,0,2,4,1,3,1,6,2,1,2,6,9,6,3,1,3,1,2,3,4,2,3,5,1,3,2,1,3,3,2,5,0,3,2,1,0,0,0,1,2
"Pld4",0,0,2,0,2,0,1,2,0,0,1,5,3,0,2,7,0,3,0,1,3,4,3,2,2,1,0,2,2,10,0,0,5,3,1,2,1,0,0,2,1,2,2,4,2,0,3,8,2,1,2,3,3,1,0,4,1,4,3,5,3,3,2,0,5,2,1,5,0,1,2,0,4,2,3,2,2,0,0,2,1,1,0,1,1
"Ctsz",0,0,0,2,8,7,4,0,1,0,3,8,1,4,4,5,2,3,2,3,2,4,2,5,5,3,1,5,2,4,0,2,6,4,8,1,0,2,2,1,4,3,3,1,3,1,2,5,3,3,2,3,3,1,1,3,2,2,8,5,4,0,2,2,3,2,2,6,2,6,2,3,2,3,1,1,1,2,4,1,1,0,1,1,1
"Tcn2",0,0,0,0,1,0,0,0,0,0,3,1,5,1,2,3,4,3,0,5,2,0,4,1,4,2,1,4,1,2,3,5,5,2,5,2,1,8,5,4,2,1,3,1,3,3,2,6,0,1,1,0,2,0,3,8,4,3,3,6,10,3,5,3,3,5,0,2,0,3,2,1,4,0,0,1,1,4,0,5,2,2,2,0,1
"Slc7a7",0,1,1,0,0,1,0,0,0,0,0,2,2,4,0,5,1,3,0,3,1,2,2,2,2,0,2,1,0,4,3,1,7,1,3,0,2,0,0,0,1,4,5,0,2,0,1,2,0,4,4,3,1,4,2,1,4,6,3,2,1,1,0,3,4,3,1,3,0,0,3,0,0,0,4,5,0,1,0,0,0,1,0,2,0
"Fcrls",0,0,0,4,1,4,2,1,2,0,0,1,3,2,0,4,0,0,2,4,5,2,2,1,1,4,3,5,2,8,2,2,4,3,4,3,4,2,2,1,2,3,0,5,1,0,1,5,2,4,3,6,3,2,3,1,2,5,2,8,4,2,4,7,2,3,0,0,0,5,3,0,3,0,3,1,2,0,7,6,0,0,2,0,3
"Hk3",0,2,0,1,1,0,0,0,0,0,0,7,0,0,1,2,0,1,0,5,8,0,1,2,4,0,0,2,0,1,0,2,2,1,1,2,1,4,0,3,2,6,3,1,2,2,0,5,0,3,0,5,2,1,0,1,1,2,5,2,3,0,2,1,1,3,0,3,0,0,0,0,0,0,2,5,0,1,1,1,0,2,1,0,0
"B4galt1",0,0,0,0,3,7,0,0,0,2,2,6,0,1,0,2,1,0,1,1,6,2,1,2,0,2,0,0,1,5,5,2,5,1,0,2,0,0,1,2,1,3,6,2,2,0,1,2,2,4,0,3,0,3,1,3,4,2,4,2,2,0,2,3,3,0,4,4,0,3,1,1,5,0,0,4,2,2,3,2,2,0,0,0,1
"Abca9",0,0,1,2,1,1,2,0,1,1,2,2,1,4,0,2,1,1,3,2,2,3,1,2,0,4,0,2,1,2,2,2,2,3,1,1,1,2,1,1,2,1,2,0,1,0,1,6,4,1,2,5,3,2,2,3,3,6,3,3,3,0,1,1,3,1,0,4,0,2,1,1,1,1,1,3,0,5,2,4,0,1,0,1,1
"Fcgrt",2,0,4,0,1,2,0,2,0,1,1,4,3,6,4,10,7,4,1,4,8,1,2,3,12,2,0,3,1,7,9,5,10,7,7,1,7,7,2,8,3,1,4,12,1,2,7,6,2,7,9,2,3,1,0,3,4,9,4,4,8,8,3,3,0,3,5,4,2,5,3,2,5,3,2,1,2,2,5,6,1,2,0,0,1
"Lyl1",0,0,0,3,1,1,1,0,0,0,1,6,1,3,1,5,3,0,3,6,3,1,6,2,2,3,2,2,3,5,2,3,3,2,4,1,5,2,1,3,3,3,1,0,1,0,1,5,5,4,1,4,1,1,1,3,4,4,3,2,2,1,0,1,6,3,2,4,1,3,3,2,4,0,2,3,0,0,1,4,1,0,0,1,2
"Lyve1",0,1,2,2,2,7,1,0,0,0,3,4,0,6,4,0,2,1,2,2,1,4,1,5,2,1,0,0,1,2,3,3,4,4,4,2,2,2,1,3,2,3,3,2,1,1,2,3,1,0,2,10,3,0,2,3,3,1,5,4,4,0,0,0,5,1,0,7,4,2,2,1,3,0,4,4,1,0,1,0,1,0,0,0,2
"F13a1",1,0,0,0,3,2,0,0,1,0,1,3,3,5,6,6,1,3,1,9,9,3,2,4,4,6,4,4,3,5,3,1,2,0,1,1,5,3,1,3,2,1,4,0,0,0,1,4,2,2,4,3,2,0,3,3,7,6,4,4,4,1,2,2,10,0,6,3,1,2,1,3,5,2,3,5,1,3,1,5,0,0,0,0,3
"Cd163",1,0,0,1,0,1,0,0,1,0,0,4,2,0,2,5,2,0,0,2,2,4,0,3,1,2,2,1,2,1,5,2,3,2,6,3,0,0,1,2,4,1,5,0,3,0,0,5,6,3,1,2,2,2,1,2,5,4,2,3,3,3,2,0,4,1,1,9,0,2,2,1,2,0,0,1,0,0,0,2,0,0,1,0,1
"Stab1",0,0,1,0,2,3,2,0,0,1,1,4,2,1,1,2,3,0,0,2,5,1,2,5,2,1,1,1,3,1,2,1,4,4,4,1,2,5,2,4,7,2,3,3,1,1,2,4,3,1,4,2,3,1,4,1,4,4,2,1,4,1,3,8,3,4,2,2,0,2,3,2,1,0,1,5,0,0,1,2,1,0,0,0,2
"Il6ra",0,0,0,3,2,3,0,1,0,1,2,2,5,1,1,3,0,2,3,1,2,2,0,5,3,1,0,1,1,4,2,1,1,1,2,0,5,3,1,4,4,1,4,4,3,0,0,2,1,1,1,6,0,0,2,3,6,5,4,0,4,0,3,0,5,4,2,4,0,3,2,2,2,0,0,4,0,1,3,2,0,0,1,0,2
"Sgpl1",0,0,0,3,0,2,0,0,0,1,0,5,0,2,2,4,2,3,0,2,2,2,1,1,3,4,0,4,3,1,4,3,6,3,2,1,0,6,0,1,5,4,4,2,1,1,4,11,8,3,4,3,4,1,1,2,5,2,7,1,6,2,2,2,5,5,0,4,1,5,2,0,0,2,2,4,0,2,4,3,2,0,3,0,0
"Dse",0,1,1,2,2,3,2,0,0,0,1,6,3,2,3,2,3,1,2,1,7,3,0,0,2,2,1,2,0,5,3,2,3,3,1,0,3,0,3,1,3,3,8,0,0,2,1,7,3,1,0,0,3,1,2,1,5,5,2,7,6,2,2,1,4,1,3,4,2,3,4,4,1,2,2,3,2,2,1,6,0,0,2,0,3
"Csf1r",0,0,4,0,4,2,5,12,2,0,0,6,8,6,2,6,1,4,1,4,4,5,14,4,0,1,0,0,7,13,5,17,5,14,3,11,4,6,1,6,5,5,4,2,3,2,0,11,1,4,6,5,3,0,7,2,4,3,4,0,7,10,1,14,6,2,4,6,3,2,6,2,2,0,3,4,7,2,5,2,0,1,3,1,1
"Mrc1",1,0,0,1,2,4,0,0,1,1,1,5,0,0,6,0,2,2,0,1,3,2,1,2,1,4,0,3,2,1,1,1,0,3,2,0,5,3,0,8,3,1,1,0,3,1,1,4,0,1,0,6,4,2,0,1,5,5,1,5,4,1,1,2,4,2,2,3,0,2,0,2,1,1,1,1,0,3,3,2,1,0,1,0,0
"Nckap1l",0,0,0,1,0,3,2,0,0,0,0,3,1,2,2,7,2,4,2,1,3,2,2,6,1,1,1,4,2,8,2,7,8,4,3,0,4,2,3,2,2,7,1,3,1,2,2,4,1,5,1,1,2,0,0,6,3,5,7,3,4,2,0,0,2,2,0,1,0,2,2,2,0,0,0,2,2,0,1,3,0,0,0,0,0
"Lcp1",0,3,0,2,2,1,1,1,0,1,1,3,1,2,7,7,0,3,1,2,4,0,1,3,5,0,1,3,1,0,2,6,6,1,1,0,2,2,1,2,7,1,2,3,3,0,2,3,3,0,6,4,3,2,3,3,7,6,7,7,4,2,1,4,3,6,2,3,3,6,3,0,1,1,3,5,2,7,3,1,0,0,0,0,0
"Laptm5",0,1,1,0,1,2,1,2,0,1,0,2,4,0,4,5,4,6,2,5,1,2,4,2,2,3,0,0,1,4,1,2,6,5,2,3,1,6,1,2,3,3,0,2,0,1,5,8,1,6,3,8,4,2,4,1,7,4,4,1,4,4,2,3,5,1,0,5,1,1,1,1,2,0,4,2,5,2,3,2,1,2,1,0,2
"Dab2",1,0,0,0,2,2,2,0,1,0,1,2,2,3,0,2,4,2,1,2,3,0,1,4,2,1,2,3,0,3,0,2,14,3,4,1,1,5,0,4,0,0,5,6,1,0,3,1,2,3,1,3,2,4,1,0,1,6,4,2,6,0,1,3,6,3,5,5,4,2,1,1,4,0,2,3,2,7,2,2,0,1,0,0,0
"Gusb",0,0,1,0,2,0,0,0,2,0,1,2,0,2,3,4,1,2,0,5,3,2,2,2,0,1,0,0,2,4,7,0,3,0,6,0,0,2,0,2,3,4,2,0,0,0,1,0,0,3,2,5,1,0,1,1,4,3,5,3,1,1,1,1,1,1,2,1,3,1,0,2,1,0,0,3,2,1,0,1,0,0,0,0,0
"Ehd4",0,2,0,2,1,1,1,0,0,0,3,5,4,0,7,3,3,2,2,2,2,3,2,4,0,5,0,2,2,8,4,3,4,3,8,1,4,0,2,3,1,3,1,4,2,0,1,7,4,2,0,6,3,2,0,1,4,3,0,4,6,6,4,5,4,3,4,5,1,4,4,0,2,2,1,1,1,4,1,5,0,2,1,1,0
"Cysltr1",0,0,0,0,2,1,1,0,2,0,1,4,1,5,4,1,2,1,1,5,6,1,0,4,7,1,3,2,0,5,5,3,2,2,1,0,2,1,0,4,5,1,3,3,2,2,1,3,5,4,2,4,2,0,1,2,8,7,2,0,4,0,4,2,4,1,2,0,0,2,5,1,3,0,1,1,0,2,2,3,1,1,0,2,3
"Slc40a1",0,3,1,1,3,1,1,1,0,0,2,5,3,2,4,2,6,2,3,3,3,0,0,3,7,5,2,1,2,5,5,5,8,1,3,1,4,3,1,3,8,1,3,3,2,1,5,3,4,3,3,5,4,2,5,5,4,4,4,1,2,4,3,0,5,1,1,5,2,3,4,0,4,3,1,4,3,4,1,5,2,0,1,0,2
"Txnip",1,1,1,1,5,4,3,0,1,1,4,3,0,4,8,1,3,2,2,1,9,4,3,5,4,2,3,2,3,2,4,3,6,3,2,1,5,2,4,3,4,3,2,5,1,0,0,4,3,2,3,14,0,0,2,3,8,5,6,4,8,2,2,1,7,7,2,1,3,6,4,3,3,1,5,2,1,3,0,4,1,0,0,1,2
"Gpr65",0,0,0,3,1,3,0,0,0,2,0,2,1,2,2,1,3,2,0,1,3,0,2,2,2,5,2,3,2,2,0,4,7,2,2,3,7,4,4,1,6,6,2,3,0,2,2,6,6,2,4,8,3,4,1,5,7,3,12,5,3,0,3,2,3,4,0,4,0,0,3,4,0,1,1,2,0,4,3,2,0,0,1,2,3
"Slc37a2",0,0,0,2,0,0,0,0,0,0,0,0,1,3,8,2,0,2,2,3,6,1,0,0,2,1,1,2,4,0,0,3,4,3,2,0,2,2,0,2,0,1,4,2,1,2,3,2,2,2,2,8,1,0,0,0,5,7,4,2,4,0,0,2,2,2,1,4,0,1,3,2,0,0,2,1,0,0,1,4,2,0,2,0,1
"Gbp7",0,0,0,2,3,1,0,0,0,0,0,0,0,4,0,4,1,3,0,2,5,1,2,5,0,4,0,3,1,4,1,1,4,1,4,2,0,1,2,3,2,1,3,1,1,0,1,2,3,4,0,6,1,3,2,2,2,2,4,1,2,2,0,0,3,0,1,5,1,4,0,2,2,0,1,4,0,4,0,5,0,0,0,0,0
"Colec12",0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,5,0,0,0,3,1,4,0,0,2,1,0,1,0,0,0,2,1,4,0,0,1,0,2,0,3,2,3,2,1,0,0,8,1,1,3,1,2,1,2,0,5,0,1,2,6,1,2,0,6,0,0,2,1,3,3,2,3,0,0,1,0,2,2,1,0,0,0,0,0
"Fyb",0,0,0,1,0,2,2,2,0,1,0,5,4,2,2,4,2,0,0,1,4,1,5,2,0,2,0,1,2,5,1,8,6,0,1,2,8,2,2,0,7,4,4,3,2,0,2,8,1,2,1,4,4,1,2,3,4,10,4,4,3,0,2,6,4,1,1,0,2,2,5,0,2,0,5,2,1,3,2,0,0,0,0,0,2
"Tlr6",1,2,1,2,2,2,2,0,0,0,1,3,3,2,4,5,4,6,3,0,3,4,1,6,2,2,0,1,1,4,0,1,3,2,1,1,0,1,1,2,4,2,5,0,0,1,2,5,3,3,5,2,2,2,0,4,4,5,4,3,4,1,1,3,2,1,3,2,2,6,0,2,3,2,1,2,0,6,2,6,0,1,3,1,0
"Was",2,2,0,2,4,4,1,0,0,1,2,6,3,4,2,4,3,4,0,4,4,4,1,7,4,4,0,3,1,13,2,2,8,6,8,0,4,3,2,0,3,5,6,2,2,1,5,6,4,5,2,8,6,8,2,4,9,6,5,4,4,4,2,2,8,3,1,8,0,4,1,6,5,3,2,2,2,2,3,7,0,0,3,1,4
"Arhgap30",0,0,1,0,2,2,1,0,0,0,0,4,4,4,6,7,3,4,0,2,3,0,0,3,2,3,0,2,2,4,1,2,2,2,4,2,1,1,1,3,0,2,2,3,0,0,2,2,1,3,3,1,2,0,2,4,6,7,1,3,8,0,0,3,0,2,3,3,0,2,2,2,0,0,1,2,0,3,2,7,0,0,0,0,3
"Tbc1d4",1,1,1,2,4,4,1,0,1,0,4,5,5,2,4,3,2,3,0,3,4,3,0,3,6,7,0,1,6,9,4,6,6,7,8,1,1,6,5,2,7,3,1,2,2,2,1,5,6,6,2,9,2,0,2,3,10,2,5,2,5,3,6,3,5,3,4,6,1,1,2,4,2,1,4,2,2,1,3,4,0,0,0,1,1
"Ltbr",0,2,0,3,1,1,2,0,2,0,2,5,1,0,1,2,2,4,2,2,2,3,5,1,2,1,0,6,5,5,8,3,5,2,3,3,2,5,0,3,2,3,2,2,4,0,1,3,3,2,2,3,0,2,0,4,4,5,5,2,6,1,3,0,4,2,2,1,4,6,4,0,5,3,4,2,2,5,1,3,1,0,1,0,4
"Akna",0,0,0,0,1,2,0,0,0,0,2,0,4,0,0,5,6,0,1,0,4,0,0,4,3,2,0,1,3,3,5,1,4,0,0,0,2,7,1,3,5,2,3,2,4,0,3,4,4,2,2,0,2,1,1,5,6,7,3,3,3,0,1,1,3,5,2,5,0,1,1,2,0,0,1,0,2,3,2,2,2,1,0,0,1
"Phactr2",1,0,0,0,0,0,0,0,0,0,3,1,2,3,4,2,4,2,0,1,3,2,2,0,4,4,1,1,0,1,1,1,6,6,1,0,5,1,0,4,4,0,5,3,1,0,4,4,6,3,1,2,1,2,1,2,3,11,1,1,2,1,0,4,5,1,1,6,0,1,1,1,1,1,0,0,1,3,2,5,1,0,1,0,1
"Dennd1c",0,2,0,1,4,1,0,0,0,1,0,3,0,2,1,2,0,2,0,0,4,2,2,5,0,2,1,0,3,5,5,3,2,3,2,0,2,0,2,6,3,0,1,2,0,0,6,4,1,6,3,1,0,0,4,5,6,4,3,1,1,0,3,0,0,2,0,5,1,4,0,0,2,0,0,1,2,2,2,4,2,0,1,0,3
"Abcc3",0,1,1,1,0,3,2,0,1,0,1,2,3,2,3,2,1,2,1,2,3,1,2,2,1,1,1,1,2,5,2,5,4,1,3,1,4,0,1,3,2,2,3,0,2,1,1,4,1,1,1,3,4,1,0,2,4,4,3,4,3,0,2,4,1,0,1,2,1,5,1,4,1,1,0,0,0,3,1,1,0,1,0,2,0
"Dhx58",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,3,1,0,3,1,0,2,3,1,2,2,4,0,2,3,2,2,1,1,1,2,0,4,3,2,2,0,1,2,6,2,3,0,1,3,0,0,3,6,1,1,4,4,0,1,4,1,1,1,3,0,0,2,1,0,0,0,2,0,2,4,1,2,0,0,2,0
"Fes",0,2,0,0,3,3,2,0,0,0,1,2,2,3,3,5,1,1,1,4,4,3,1,4,1,5,1,1,4,4,4,5,8,5,3,2,2,6,1,2,5,2,0,1,1,1,7,3,2,1,1,4,1,1,0,8,6,6,2,5,5,3,2,5,5,2,1,3,2,1,4,0,1,2,1,4,2,0,2,2,0,1,0,0,0
"Cfp",0,2,1,0,3,6,1,0,0,0,0,8,1,5,1,5,6,2,2,3,7,4,1,5,4,4,4,2,2,4,4,5,4,3,3,1,2,3,3,4,2,6,2,2,4,1,3,7,7,1,3,4,1,1,1,7,8,8,4,2,2,1,3,7,6,5,0,7,3,2,4,3,5,4,4,3,2,6,4,10,1,0,1,1,2
"Nfxl1",0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,2,3,2,0,0,0,3,1,5,0,2,0,0,0,3,0,2,6,0,5,0,2,1,0,4,3,2,3,0,2,1,2,3,1,0,1,2,6,0,0,1,2,7,3,6,7,1,0,2,0,0,2,2,0,1,3,1,1,1,0,3,0,1,1,2,0,0,1,1,1
"Gas2l3",1,1,2,1,5,2,1,0,0,0,1,7,3,4,1,2,3,3,5,2,4,3,3,3,1,4,1,1,3,4,1,4,8,4,2,1,4,5,3,4,6,2,3,3,1,3,0,3,5,4,3,4,4,2,3,4,9,8,1,1,3,1,3,2,2,7,1,0,1,4,4,0,2,0,2,3,0,3,0,2,0,1,0,1,0
"Lilra5",0,0,1,1,2,0,0,0,0,0,0,1,1,0,1,5,2,0,0,3,5,0,0,5,3,2,0,1,1,6,0,4,3,2,0,1,0,1,2,0,1,2,3,2,1,0,1,0,2,0,2,2,3,2,1,3,2,1,2,2,2,0,1,4,3,0,4,0,0,2,4,1,0,0,1,3,0,0,0,4,0,0,0,0,2
"Slc29a1",0,1,1,2,4,4,1,0,0,0,1,5,3,4,2,8,8,7,1,5,5,0,3,6,3,4,3,2,5,3,2,2,5,5,4,1,5,2,4,1,2,2,6,1,2,2,2,5,2,2,1,8,3,3,4,3,6,9,6,3,6,1,1,7,1,6,3,5,1,3,5,4,4,0,3,4,2,6,5,7,1,3,0,1,6
"Abca1",2,0,0,0,2,1,0,0,2,0,0,0,2,7,1,6,2,2,1,0,4,1,0,2,1,1,0,0,1,2,5,4,5,6,4,1,1,0,1,2,6,3,3,1,0,0,3,5,1,0,6,4,2,2,2,5,2,3,4,0,2,2,3,0,2,0,1,0,0,3,2,1,0,0,2,1,1,0,2,2,0,2,0,1,0
"Trim47",0,0,0,0,3,2,1,0,0,1,0,6,2,0,0,1,2,3,0,0,4,4,0,5,2,2,2,4,2,5,3,4,7,2,2,1,2,3,4,0,1,2,5,3,0,1,1,4,3,2,4,5,8,3,1,4,3,4,2,3,5,1,2,1,2,1,3,3,0,2,6,0,1,1,0,3,0,1,8,3,0,0,3,1,3
"Themis2",0,0,0,0,2,0,0,0,0,2,2,2,2,3,2,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,2,2,2,4,1,0,0,2,0,0,3,2,1,0,3,4,0,2,5,1,0,1,0,2,0,1,0,4,2,2,3,2,2,0,2,1,0,0,1,0,2,2,4,0,0,0,0,0
"Lgals3bp",0,0,0,0,1,1,2,0,0,0,1,2,1,1,3,3,2,2,0,0,1,3,4,4,0,4,0,0,3,5,5,2,2,2,3,0,6,0,1,3,0,1,2,3,3,1,0,2,6,1,1,0,5,0,0,1,5,7,4,4,4,1,0,3,3,5,1,2,0,4,4,3,2,1,0,2,0,4,4,3,0,0,1,1,1
"Cpne3",0,0,0,2,5,0,0,0,1,0,1,2,1,1,2,4,1,0,3,4,3,0,1,8,2,3,1,3,1,1,0,1,0,1,2,0,0,1,3,2,2,5,3,4,1,2,1,2,4,0,1,1,2,3,0,0,4,4,4,5,3,2,6,2,3,1,4,2,1,4,1,3,2,2,0,4,0,0,0,0,0,0,0,0,0
"Nlrc4",0,0,0,2,2,6,0,0,1,2,2,5,0,5,6,3,2,4,2,4,6,1,0,6,2,4,2,0,4,0,1,1,4,3,3,1,6,6,2,3,3,4,2,5,2,2,3,2,4,1,1,4,0,1,1,6,7,5,6,2,1,0,2,2,4,0,4,2,4,1,3,2,2,0,2,4,0,1,2,4,0,1,2,0,3
"Parp12",0,1,0,2,3,6,2,0,0,2,4,8,2,5,2,5,4,3,0,1,5,2,3,7,4,0,0,3,5,7,3,9,9,1,2,1,5,2,3,2,4,3,6,4,5,1,4,6,4,1,1,6,3,1,3,2,5,8,1,5,4,1,2,3,4,1,4,11,2,9,5,2,3,3,2,1,0,5,4,3,1,0,1,2,4
